"Concept"	"Feature"
"4106"	"motorcycle"	"is_dangerous"
"4107"	"motorcycle"	"is_fast"
"4108"	"motorcycle"	"is_fun"
"4109"	"motorcycle"	"is_loud"
"4110"	"motorcycle"	"made_by_Harley_Davidson"
"4111"	"motorcycle"	"requires_gasoline"
"4112"	"motorcycle"	"used_by_1_or_2_people"
"4113"	"motorcycle"	"used_by_2_people"
"4114"	"motorcycle"	"used_by_Hell's_Angels"
"4115"	"motorcycle"	"used_for_transportation"
"4116"	"motorcycle"	"used_with_helmets"
"4117"	"motorcycle"	"used_with_leather"
"4481"	"parakeet"	"a_bird"
"4482"	"parakeet"	"a_pet"
"4483"	"parakeet"	"beh_-_chirps"
"4484"	"parakeet"	"beh_-_eats"
"4485"	"parakeet"	"beh_-_eats_seeds"
"4486"	"parakeet"	"beh_-_flies"
"4487"	"parakeet"	"beh_-_sings"
"4488"	"parakeet"	"beh_-_talks"
"4489"	"parakeet"	"has_a_beak"
"4490"	"parakeet"	"has_feathers"
"4491"	"parakeet"	"has_wings"
"4492"	"parakeet"	"is_colourful"
"4493"	"parakeet"	"is_loud"
"4494"	"parakeet"	"is_small"
"4495"	"parakeet"	"is_tropical"
"4496"	"parakeet"	"lives_in_cages"
"4586"	"peas"	"a_vegetable"
"4587"	"peas"	"comes_frozen"
"4588"	"peas"	"eaten_by_cooking"
"4589"	"peas"	"eaten_in_soups"
"4590"	"peas"	"grows_in_pods"
"4591"	"peas"	"is_edible"
"4592"	"peas"	"is_green"
"4593"	"peas"	"is_nutritious"
"4594"	"peas"	"is_round"
"4595"	"peas"	"is_small"
"4596"	"peas"	"is_yellow"
"4597"	"peas"	"tastes_good"
"4635"	"pencil"	"a_utensil"
"4636"	"pencil"	"has_an_eraser"
"4637"	"pencil"	"has_an_eraser_on_end"
"4638"	"pencil"	"is_erasable"
"4639"	"pencil"	"is_long"
"4640"	"pencil"	"is_mechanical"
"4641"	"pencil"	"is_sharpened"
"4642"	"pencil"	"is_thin"
"4643"	"pencil"	"is_yellow"
"4644"	"pencil"	"made_of_graphite"
"4645"	"pencil"	"made_of_lead"
"4646"	"pencil"	"made_of_wood"
"4647"	"pencil"	"used_at_school"
"4648"	"pencil"	"used_for_drawing"
"4649"	"pencil"	"used_for_math"
"4650"	"pencil"	"used_for_writing"
"4796"	"pillow"	"found_on_beds"
"4797"	"pillow"	"has_a_pillow_case"
"4798"	"pillow"	"has_feather_filling"
"4799"	"pillow"	"has_filling"
"4800"	"pillow"	"has_foam_filling"
"4801"	"pillow"	"is_comfortable"
"4802"	"pillow"	"is_decorative"
"4803"	"pillow"	"is_fuzzy/fluffy"
"4804"	"pillow"	"is_soft"
"4805"	"pillow"	"is_white"
"4806"	"pillow"	"used_for_pillow_fights"
